MISSING FUNCTIONS REPORT
================================================================================

Total functions in symbols.txt: 18539
Functions in asm_decomp: 10876
Functions matched: 9880
Missing functions: 1261

ALL MISSING FUNCTIONS (sorted by size):
--------------------------------------------------------------------------------
0x80392244     16B  __VMGetPhysicalAddrOfPageInMRAM
0x8039AC18     16B  _savefpr_29
0x8039AC64     16B  _savegpr_29
0x8039ACB0     16B  _restfpr_29
0x8039ACFC     16B  _restgpr_29
0x8039B198     16B  __VMBASEClearPageFromTLB
0x8039B1D4     16B  VMBASEGetVirtualAddrFromPageInMRAM
0x8039B1E4     16B  __VMBASESetVirtualAddressForPageInMRAM
0x8039DB10     16B  Intersection__Reset_void
0x8023ECB8     20B  cmdFS_STOP
0x8023F48C     20B  SNDeselect
0x8023F4C8     20B  SNSync
0x80240258     20B  PCgetLastError
0x80242690     20B  isdigit
0x8024AED8     20B  PPCHalt
0x8024BAEC     20B  __OSGetExceptionHandler
0x8024BC48     20B  __OSGetDIConfig
0x8024CA70     20B  DCEnable
0x8024CA84     20B  DCDisable
0x8024CA98     20B  DCFreeze
0x8024CC64     20B  ICEnable
0x8024CC78     20B  ICDisable
0x8024CC8C     20B  ICFreeze
0x8024CDEC     20B  LCAllocOneTag
0x8024D0CC     20B  LCQueueWait
0x8024F550     20B  __RAS_OSDisableInterrupts_begin
0x8024F564     20B  OSEnableInterrupts
0x8024F5B8     20B  __OSGetInterruptHandler
0x80250D5C     20B  OSGetSaveRegion
0x802552F0     20B  __SetTime
0x80259928     20B  SISetCommand
0x8025993C     20B  SIGetCommand
0x80261D24     20B  DVDLowBreak
0x802671EC     20B  AIGetDSPSampleRate
0x80329508     20B  ImageProcessingManager__SetStageCallback_int__void__p__ETexture_ptr
0x8036C468     20B  ENgcAram__AvailableMemory_void
0x8036EE0C     20B  isspace
0x80379208     20B  AXSetMode
0x8037E244     20B  DSPReadCPUToDSPMbox
0x8037E270     20B  DSPSendMailToDSP
0x80388D74     20B  GXGetFifoLimits
0x8038B170     20B  GXPokeAlphaMode
0x8038C570     20B  GXSetDispCopyGamma
0x8038D8B0     20B  GXInitTexObjBiasClamp
0x8038DAB8     20B  GXGetTexObjMinFilt
0x8038DB8C     20B  GXGetTexObjEdgeLOD
0x8038E2E8     20B  GXSetTexRegionCallback
0x8038E2FC     20B  GXSetTlutRegionCallback
0x80392E6C     20B  __VMIsARAMPageDirty
0x8039AC14     20B  _savefpr_28
0x8039AC60     20B  _savegpr_28
0x8039ACAC     20B  _restfpr_28
0x8039ACF8     20B  _restgpr_28
0x8039AD50     20B  _restfpr_31_x
0x8039ADA8     20B  _restgpr_31_x
0x80190DF4     24B  InteractionHelper__GetNext_IHRecord_ptr
0x8023E3D0     24B  ISIentry
0x8023F474     24B  SNSelect
0x80250874     24B  __OSModuleInit
0x80250BB0     24B  RealMode
0x802552D0     24B  OSGetTime
0x80257D50     24B  EXIGetState
0x8025ABC0     24B  PSVECSquareMag
0x80266F28     24B  AIStartDMA
0x80266F40     24B  AIStopDMA
0x80266FF0     24B  AIResetStreamSampleCount
0x80268308     24B  DBGEXIClearInterrupts
0x802B91A0     24B  AptScriptFunctionByteCodeBlock__GetConstantPool_void
0x802D9390     24B  EA__Allocator__GeneralAllocator__AdjustTopChunk_EA__Allocator__GeneralAllocator__Chunk_ptr__unsigned_int
0x802E9C0C     24B  EAnimController__PrintTracks_void
0x802F1F9C     24B  EGraphics__GetFrameBufferTextureCoordinate_EVec2
0x80306CC8     24B  blendFloat_float__float__float
0x80317A28     24B  ERFont__SetColor_float
0x80328CE4     24B  EyeToyManager__OpenInstance_int__void__p__char_ptr__int__EyeToyDefs__Resolution__bool__void__p__int
0x80364ED0     24B  ERenderSurface__SetSize_int__int__int
0x80375BAC     24B  __ARWaitForDMA
0x80377F24     24B  __AXGetStackHead
0x80378B18     24B  __AXWriteToCommandList
0x8037E258     24B  DSPReadMailFromDSP
0x80380484     24B  CARDGetDiskID
0x80386CC8     24B  CARDGetXferredBytes
0x8038B1A4     24B  GXPokeAlphaUpdate
0x8038B220     24B  GXPokeColorUpdate
0x8038B25C     24B  GXPokeDither
0x8038D9BC     24B  GXGetTexObjMipMap
0x80392E54     24B  __VMSetARAMPageAsDirty
0x8039AA60     24B  GDInitGDLObj
0x8039AC10     24B  _savefpr_27
0x8039AC5C     24B  _savegpr_27
0x8039ACA8     24B  _restfpr_27
0x8039ACF4     24B  _restgpr_27
0x8039AD4C     24B  _restfpr_30_x
0x8039ADA4     24B  _restgpr_30_x
0x8039B648     24B  __VMBASEVirtualAddrToPageTableAddr
0x8023D4A4     28B  cmdReset
0x8024BAD0     28B  __OSSetExceptionHandler
0x8024F59C     28B  __OSSetInterruptHandler
0x80250D70     28B  OSGetSavedRegion
0x802534A0     28B  OSIsThreadSuspended
0x80254988     28B  OSGetIdleFunction
0x80258B40     28B  SIClearTCInterrupt
0x8025A86C     28B  DBIsDebuggerPresent
0x8025A8E0     28B  __DBIsExceptionMarked
0x8025AA74     28B  PSVECScale
0x8025D974     28B  __DVDSetDmaCommand
0x80261C30     28B  DoBreak
0x80261D38     28B  DVDLowClearCallback
0x802665C4     28B  ClampU8
0x80266F68     28B  AIGetDMAStartAddr
0x8026732C     28B  AISetStreamVolLeft
0x80267358     28B  AISetStreamVolRight
0x802685B8     28B  DBGEXISync
0x802685D4     28B  DBGEXIDeselect
0x802B8D04     28B  AptScriptFunction1__GetConstantPool_void
0x802B8F48     28B  AptScriptFunction2__GetConstantPool_void
0x802DC560     28B  EA__Allocator__GeneralAllocator__LinkCoreBlock_EA__Allocator__GeneralAllocator__CoreBlock_ptr__EA__Allocator__GeneralAllocator__CoreBlock_ptr
0x802DC57C     28B  EA__Allocator__GeneralAllocator__UnlinkCoreBlock_EA__Allocator__GeneralAllocator__CoreBlock_ptr
0x803009D4     28B  EWindow__TransformScale_float__float__float_ref__float_ref
0x80317AC0     28B  ERFont__GetChar_void_ptr__bool__int
0x8036E220     28B  tolower
0x80378220     28B  __AXPopCallbackStack
0x8037877C     28B  __AXGetAuxAOutput
0x8037882C     28B  __AXGetAuxBOutput
0x80378848     28B  __AXGetAuxBForDPL2
0x80378864     28B  __AXGetAuxBOutputDPL2
0x8037B9F8     28B  AXInitProfile
0x8037CC4C     28B  MIXGetInput
0x8037CD48     28B  MIXGetAuxA
0x8037CF6C     28B  MIXGetPan
0x8037D068     28B  MIXGetSPan
0x8037D164     28B  MIXGetFader
0x80380A5C     28B  CARDGetFastMode
0x8038B988     28B  GXGetLineWidth
0x8038BA74     28B  GXGetCullMode
0x8038CBE4     28B  GXInitLightDir
0x8038D760     28B  GXInitTexObjWrapMode
0x80390788     28B  WriteProjPS
0x803907A4     28B  Copy6Floats
0x80391F84     28B  GXClearVCacheMetric
0x8039AC0C     28B  _savefpr_26
0x8039AC58     28B  _savegpr_26
0x8039ACA4     28B  _restfpr_26
0x8039ACF0     28B  _restgpr_26
0x8039AD48     28B  _restfpr_29_x
0x8039ADA0     28B  _restgpr_29_x
0x8039B660     28B  __VMBASEPageTableAddrToVirtualAddr
0x80048570     32B  ObjectList__ObjectList_void
0x800B4C40     32B  CTilePt__ToTilePt_void__const
0x800D43DC     32B  NghResFile__PrepareMemCardWrite_char_ptr__unsigned_char
0x8014527C     32B  IFFSlotDescList__GetNumSlots_void
0x8014AB2C     32B  WantFear__Tree__FixupPointers_signed_char_ptr__WantFear__Node_ptr
0x801F99FC     32B  KEYTarget__IsModeValid_void
0x8023EC64     32B  cmdFS_ACK
0x8024026C     32B  DisDvdBP
0x802403FC     32B  CheckSeekOffset
0x80240744     32B  SNDVDEmuInit
0x8024AF5C     32B  PPCMffpscr
0x8024C7AC     32B  OSAllocFromArenaHi
0x8024DFA0     32B  OSVReport
0x80251808     32B  OSGetResetSwitchState
0x802531D4     32B  __OSSystemCallVectorStart
0x80255C4C     32B  __init_user_1
0x80255D14     32B  abort_1
0x80255D88     32B  _ExitProcess
0x802560B0     32B  OSInitCond
0x802561A4     32B  OSSignalCond
0x80258AE4     32B  SIBusy
0x8025ACE0     32B  PSVECDotProduct
0x8025BD98     32B  DVDGetFileInfoStatus
0x8026607C     32B  PADSetSamplingRate
0x80267228     32B  __AI_DEBUG_set_stream_sample_rate
0x802CD9B8     32B  ERedBlackTree__ERedBlackTree_void
0x802CFDCC     32B  ERTQuantize__FreeNode_unsigned_short
0x802CFDEC     32B  ERTQuantize__IndexToNode_unsigned_short
0x802D93F8     32B  EA__Allocator__GeneralAllocator__SetFencepostAfterChunk_EA__Allocator__GeneralAllocator__Chunk_ptr__unsigned_int
0x802E26F0     32B  EApp__PlayMovie_unsigned_int__int__int
0x80305D80     32B  EDebugMenuItem__EDebugMenuItem_void
0x80306958     32B  DumpBinary64_void_ptr__int
0x80307D74     32B  EVibrate__IsControllerOn_unsigned_char
0x80312EC4     32B  EResPrefetch__GetLoadProgress_void
0x803205D0     32B  ERShader__CreateCopy_void__const
0x80320A88     32B  op_shl_EStream_ref__ERTexture_ptr
0x80321344     32B  ERTexture__CreateCopy_void__const
0x80322360     32B  op_shl_EStream_ref__REffectsAttachment_ptr
0x80322A34     32B  REffectsAttachment__Construct_REffectsAttachment_ptr
0x80322B54     32B  REffectsAttachment__CreateCopy_void__const
0x80322BA0     32B  EAmbientScoreManager__GetHeap_void
0x80322C84     32B  EAmbientScoreManager__AddRef_unsigned_int__EFile_ptr__int
0x80322CA4     32B  EAmbientScoreManager__AddRef_char_ptr__EFile_ptr__int
0x80322D24     32B  EAnimManager__GetHeap_void
0x80322E08     32B  EAnimManager__AddRef_unsigned_int__EFile_ptr__int
0x80322E28     32B  EAnimManager__AddRef_char_ptr__EFile_ptr__int
0x80322FE8     32B  EAudioStreamManager__AddRef_char_ptr__EFile_ptr__int
0x803230A4     32B  EBinaryManager__GetHeap_void
0x8032318C     32B  EBinaryManager__AddRef_unsigned_int__EFile_ptr__int
0x803231AC     32B  EBinaryManager__AddRef_char_ptr__EFile_ptr__int
0x803232FC     32B  ECharacterManager__AddRef_unsigned_int__EFile_ptr__int
0x8032331C     32B  ECharacterManager__AddRef_char_ptr__EFile_ptr__int
0x803235F0     32B  EControllerManager__GetController_unsigned_int
0x80324954     32B  EDatasetManager__AddRef_unsigned_int__EFile_ptr__int
0x80324974     32B  EDatasetManager__AddRefAsync_unsigned_int
0x80324994     32B  EDatasetManager__PreloadResource_unsigned_int
0x803249B4     32B  EDatasetManager__DelRef_unsigned_int__EResourceManager__DelRefMode
0x803249D4     32B  EDatasetManager__DelRef_char_ptr__EResourceManager__DelRefMode
0x80324A4C     32B  EEdithTreeSetMan__GetHeap_void
0x80324B34     32B  EEdithTreeSetMan__AddRef_unsigned_int__EFile_ptr__int
0x80324B54     32B  EEdithTreeSetMan__AddRef_char_ptr__EFile_ptr__int
0x80324BD4     32B  EFlashManager__GetHeap_void
0x80324CC0     32B  EFlashManager__AddRef_unsigned_int__EFile_ptr__int
0x80324CE0     32B  EFlashManager__AddRef_char_ptr__EFile_ptr__int
0x80324E3C     32B  EFontManager__AddRef_unsigned_int__EFile_ptr__int
0x80324E5C     32B  EFontManager__AddRef_char_ptr__EFile_ptr__int
0x80324ED4     32B  EModelManager__GetHeap_void
0x80324FB8     32B  EModelManager__AddRef_unsigned_int__EFile_ptr__int
0x80324FD8     32B  EModelManager__AddRef_char_ptr__EFile_ptr__int
0x80325188     32B  EMovieMan__AddRef_unsigned_int__EFile_ptr__int
0x803251A8     32B  EMovieMan__AddRef_char_ptr__EFile_ptr__int
0x8032526C     32B  EQuickdataManager__GetHeap_void
0x803254F8     32B  EQuickdataManager__AddRef_unsigned_int__EFile_ptr__int
0x80325518     32B  EQuickdataManager__AddRef_char_ptr__EFile_ptr__int
0x8032758C     32B  EResourceManager__GetHeap_void
0x80327F10     32B  EResourceManager__LookupId_EResourceManager_ptr__unsigned_int__unsigned_int_ref__unsigned_int_ref
0x803281DC     32B  EShaderManager__GetHeap_void
0x803282D4     32B  EShaderManager__AddRef_unsigned_int__EFile_ptr__int
