# Sims 2 GC Decomp — TU Work Queue
# Generated: 2026-03-29
# 439 TUs | 4654/16211 matched (28%)
# Unmatched functions: 11557
#
# Size distribution (unmatched):
#   <=20 bytes  (getter/setter tier): 517
#   <=100 bytes (easy grind tier):    4355
#   <=500 bytes (medium tier):        9993
#   >500 bytes  (complex tier):       1564
#
# Sorted by TU completion % DESC (closest-to-done first = easiest wins)
# TU_NAME | FUNC_ADDRESS | SIZE | FUNC_NAME | TU_COMPLETION_%
#==========================================================================================

treetablequickdata | 0x8015E500 |    92 | TreeTableQuickData::Release(void) | 81.5%
treetablequickdata | 0x8015E028 |    96 | TreeTableQuickData::Load(unsigned int, short) | 81.5%
treetablequickdata | 0x8015DCB8 |   104 | TreeTableQuickData::TreeTableQuickData(void) | 81.5%
treetablequickdata | 0x803AF7F0 |   108 | TreeTableEntry::GetAdByID(int) const | 81.5%
treetablequickdata | 0x803AF234 |   112 | TreeTable * FindRes<TreeTable>(TreeTable *, TreeTable *, int) | 81.5%
treetablequickdata | 0x8015E088 |   244 | TreeTableQuickData::GetNthEntry(int) const | 81.5%
treetablequickdata | 0x8015DA2C |   268 | TreeTableEntryQuickData::~TreeTableEntryQuickData(void) | 81.5%
treetablequickdata | 0x8015DD20 |   268 | TreeTableQuickData::~TreeTableQuickData(void) | 81.5%
treetablequickdata | 0x8015D8F8 |   308 | TreeTableEntryQuickData::TreeTableEntryQuickData(TreeTableEntry *) | 81.5%
treetablequickdata | 0x8015DB38 |   356 | TreeTableEntryQuickData::GetAd(int) const | 81.5%
treetablequickdata | 0x8015DE60 |   440 | TreeTableQuickData::LoadFromDataID(ObjectDataID &) | 81.5%
treetablequickdata | 0x803AECE8 |  1356 | vector<ConsoleAutoRefCount<TreeTableAdQuickData>, allocator<ConsoleAutoRefCount<TreeTableAdQuickData> > >::_M_fill_insert(ConsoleAutoRefCount<TreeTableAdQuickData> *, unsigned int, ConsoleAutoRefCount<TreeTableAdQuickData> &) | 81.5%
treetablequickdata | 0x803AF2A4 |  1356 | vector<ConsoleAutoRefCount<TreeTableEntryQuickData>, allocator<ConsoleAutoRefCount<TreeTableEntryQuickData> > >::_M_fill_insert(ConsoleAutoRefCount<TreeTableEntryQuickData> *, unsigned int, ConsoleAutoRefCount<TreeTableEntryQuickData> &) | 81.5%

# --- particleman [6/8, 75.0%] ---
particleman | 0x8032B638 |    48 | ParticleManDelRefCB(void *) | 75.0%

# --- e_quickdataman [9/12, 75.0%] ---
e_quickdataman | 0x80325590 |    52 | EQuickdataManager::SetCurrentLanguage(int) | 75.0%

# --- particleman [6/8, 75.0%] ---
particleman | 0x8032B5D8 |    96 | ParticleManager::AllocateAndLoadResource(EFile *, unsigned int, unsigned int) | 75.0%

# --- e_quickdataman [9/12, 75.0%] ---
e_quickdataman | 0x8032528C |   204 | EQuickdataManager::AllocateAndLoadResource(EFile *, unsigned int, unsigned int) | 75.0%
e_quickdataman | 0x80325358 |   296 | EQuickdataManager::Reload(unsigned int) | 75.0%

# --- dirtyxml [49/67, 73.1%] ---
dirtyxml | 0x8023AA94 |    24 | CDirtyXmlNode::hasChildNodes(void) | 73.1%
dirtyxml | 0x8023AA74 |    32 | CDirtyXmlNode::firstChild(void) | 73.1%
dirtyxml | 0x8023AAB0 |    40 | CDirtyXmlNode::lastChild(void) | 73.1%
dirtyxml | 0x8023AA40 |    48 | CDirtyXmlNode::getNextChildNode(void) | 73.1%
dirtyxml | 0x8023AC64 |    52 | CDirtyXml::getFirstAttribute(void) | 73.1%
dirtyxml | 0x8023AC98 |    52 | CDirtyXml::getNextAttribute(void) | 73.1%
dirtyxml | 0x803C1800 |    52 | IAptXmlNode::~IAptXmlNode(void) | 73.1%
dirtyxml | 0x8023AA04 |    60 | CDirtyXmlNode::getFirstChildNode(void) | 73.1%
dirtyxml | 0x8023AAD8 |    76 | CDirtyXmlNode::nextSibling(void) | 73.1%
dirtyxml | 0x8023ABEC |    76 | CDirtyXmlNode::previousSibling(void) | 73.1%
dirtyxml | 0x8023A8FC |    80 | CDirtyXmlNode::getFirstAttribute(void) | 73.1%
dirtyxml | 0x8023A6D0 |    92 | _ParseLevel(CDirtyXmlNode *, unsigned char *) | 73.1%
dirtyxml | 0x8023A72C |   116 | _Parse(CDirtyXmlNode *, CDirtyXmlNode *, unsigned char *) | 73.1%
dirtyxml | 0x8023A570 |   148 | _ParseNumChildNodes(unsigned char *) | 73.1%
dirtyxml | 0x8023A7A0 |   152 | CDirtyXmlImpl::createNewAptXml(char *) | 73.1%
dirtyxml | 0x8023A94C |   180 | CDirtyXmlNode::getNextAttribute(void) | 73.1%
dirtyxml | 0x8023A838 |   192 | CDirtyXmlNode::~CDirtyXmlNode(void) | 73.1%
dirtyxml | 0x8023A604 |   204 | _ParseChildNodes(CDirtyXmlNode **, int, unsigned char *) | 73.1%

# --- interactor [20/28, 71.4%] ---
interactor | 0x802092B4 |    36 | InteractorModule::Interactor::GetInteractorInfo(InteractorModule::InteractorInfo &) | 71.4%
interactor | 0x802094B8 |    52 | InteractorModule::Interactor::~Interactor(void) | 71.4%

# --- soundinfo [10/14, 71.4%] ---
soundinfo | 0x803ADFC8 |    52 | SoundInfo::GetDataID(void) const | 71.4%

# --- e_thread [5/7, 71.4%] ---
e_thread | 0x802E1714 |    56 | EThread::AttachToCallingThread(void) | 71.4%

# --- interactor [20/28, 71.4%] ---
interactor | 0x80209480 |    56 | InteractorModule::Interactor::NotifyClient(InteractorModule::Interactor::ClientNotificationState, InteractorModule::Interactor::CallbackData &, InteractorModule::Interactor::InteractorParams &) | 71.4%
interactor | 0x802093AC |    68 | InteractorModule::Interactor::ResetInputState(void) | 71.4%
interactor | 0x80209354 |    88 | InteractorModule::Interactor::OnCommandUpdate(InteractorModule::InteractorInputManager::InteractorCommand, float) | 71.4%

# --- soundinfo [10/14, 71.4%] ---
soundinfo | 0x803ADF68 |    96 | SndInfo * FindRes<SndInfo>(SndInfo *, SndInfo *, int) | 71.4%

# --- interactor [20/28, 71.4%] ---
interactor | 0x802093F0 |   100 | InteractorModule::Interactor::GetSelectionRadius(void) | 71.4%
interactor | 0x802092EC |   104 | InteractorModule::Interactor::OnCommandReleased(InteractorModule::InteractorInputManager::InteractorCommand) | 71.4%

# --- xlingo [10/14, 71.4%] ---
xlingo | 0x801523AC |   116 | XObjLang::GetConstantsID(short, short *, int *) | 71.4%

# --- timer [5/7, 71.4%] ---
timer | 0x80076E74 |   132 | Timer_Init(EClock *) | 71.4%

# --- soundinfo [10/14, 71.4%] ---
soundinfo | 0x80145874 |   140 | QuickDataSoundInfo::QuickDataSoundInfo(void) | 71.4%

# --- xlingo [10/14, 71.4%] ---
