# Decomp Progress Matrix
# Total: 3861 matched / 20508 functions
# Coverage: 18.8%

TU Name                                  Matched Total      %  Bar
objresfile                                  0/6      0.0%  [..................................................]
objselector                                 7/55    12.7%  [######............................................]
objtestsim                                  4/25    16.0%  [########..........................................]
passiveinfluencemap                         2/29     6.9%  [###...............................................]
patch                                      27/102   26.5%  [#############.....................................]
person                                     60/205   29.3%  [##############....................................]
piecewise                                   1/7     14.3%  [#######...........................................]
playerfamilyimpl                            7/14    50.0%  [#########################.........................]
portal                                      3/32     9.4%  [####..............................................]
proptable                                   2/10    20.0%  [##########........................................]
quickresfile                               29/38    76.3%  [######################################............]
recon                                       5/34    14.7%  [#######...........................................]
relmatrix                                   1/20     5.0%  [##................................................]
resfile                                     5/15    33.3%  [################..................................]
rooms                                       2/51     3.9%  [#.................................................]
routing                                     2/34     5.9%  [##................................................]
seqresfile                                  1/15     6.7%  [###...............................................]
simlogging                                  3/27    11.1%  [#####.............................................]
simmemory                                   0/10     0.0%  [..................................................]
simulator                                  24/60    40.0%  [####################..............................]
skilllookup                                 0/16     0.0%  [..................................................]
slots                                      65/140   46.4%  [#######################...........................]
soundinfo                                   6/11    54.5%  [###########################.......................]
stdresfile                                  0/6      0.0%  [..................................................]
tilewalls                                   1/40     2.5%  [#.................................................]
timeofday                                   4/5     80.0%  [########################################..........]
treesim                                    22/81    27.2%  [#############.....................................]
treetab                                    46/88    52.3%  [##########################........................]
walls                                       0/8      0.0%  [..................................................]
wantfear                                    7/41    17.1%  [########..........................................]
world                                       8/46    17.4%  [########..........................................]
xlingo                                      9/15    60.0%  [##############################....................]
xrouting                                    4/29    13.8%  [######............................................]
behaviorconstants                          14/45    31.1%  [###############...................................]
behaviortree                               17/48    35.4%  [#################.................................]
objectdatafactory                           8/14    57.1%  [############################......................]
objectdataid                                6/10    60.0%  [##############################....................]
objectdataobjdefinition                    12/27    44.4%  [######################............................]
smartdatafactory                            2/12    16.7%  [########..........................................]
treetablequickdata                         80/119   67.2%  [#################################.................]
casclothingunlocks                          0/23     0.0%  [..................................................]
cascostumes                                 0/13     0.0%  [..................................................]
casgenetics                                 0/22     0.0%  [..................................................]
caslistener                                10/13    76.9%  [######################################............]
casmediator                                 7/20    35.0%  [#################.................................]
casnpceditor                                1/20     5.0%  [##................................................]
casscene                                    5/28    17.9%  [########..........................................]
cassimdescription                           4/39    10.3%  [#####.............................................]
cassimparts                                 1/36     2.8%  [#.................................................]
cassimrenderer                              8/27    29.6%  [##############....................................]
cassimrendererdynamic                       2/23     8.7%  [####..............................................]
cassimstate                                 3/26    11.5%  [#####.............................................]
castweaktool                                3/10    30.0%  [###############...................................]
casscenedefault                             3/8     37.5%  [##################................................]
casscenegamecube                            4/9     44.4%  [######################............................]
casscenepersonal                            4/9     44.4%  [######################............................]
helpdialog                                  1/6     16.7%  [########..........................................]
ui2d                                        2/14    14.3%  [#######...........................................]
ui3d                                        1/14     7.1%  [###...............................................]
uiaudio                                     1/16     6.2%  [###...............................................]
uibase                                      1/12     8.3%  [####..............................................]
uicore                                      3/34     8.8%  [####..............................................]
uidb                                        0/14     0.0%  [..................................................]
uidraw                                      0/13     0.0%  [..................................................]
uiflow                                      2/8     25.0%  [############......................................]
uihdtv                                      7/15    46.7%  [#######################...........................]
uiqd                                        0/7      0.0%  [..................................................]
uireflow                                   14/50    28.0%  [##############....................................]
uirouter                                    0/5      0.0%  [..................................................]
uiscreenmanager                             2/20    10.0%  [#####.............................................]
uisupport                                   0/17     0.0%  [..................................................]
uiupdate                                    0/13     0.0%  [..................................................]
uiuserdrawcb                                0/12     0.0%  [..................................................]
widgetsupport                               2/10    20.0%  [##########........................................]
actionmenu                                 14/35    40.0%  [####################..............................]
actionqueuehud                              2/26     7.7%  [###...............................................]
hudtarget                                  25/70    35.7%  [#################.................................]
loadgametarget                              8/36    22.2%  [###########.......................................]
savegametarget                              5/32    15.6%  [#######...........................................]
tsupport                                    2/20    10.0%  [#####.............................................]
targets_cas                                38/172   22.1%  [###########.......................................]
targets_s2c                               170/746   22.8%  [###########.......................................]
targets_tsc3                               72/322   22.4%  [###########.......................................]
directinteractor                           10/45    22.2%  [###########.......................................]
floorpainter                               13/43    30.2%  [###############...................................]
interactor                                 18/29    62.1%  [###############################...................]
interactorinputmanager                      1/16     6.2%  [###...............................................]
interactormanager                           1/17     5.9%  [##................................................]
interactorresourceset                       0/16     0.0%  [..................................................]
interactorutils                             2/46     4.3%  [##................................................]
interactorvisualizer                        6/56    10.7%  [#####.............................................]
objectmanipulator                          11/61    18.0%  [#########.........................................]
siminteractor                               9/43    20.9%  [##########........................................]
socialmodeinteractor                       14/22    63.6%  [###############################...................]
wallmanipulator                            12/54    22.2%  [###########.......................................]
wallpainter                                15/47    31.9%  [###############...................................]
e_iamblight                                 8/22    36.4%  [##################................................]
e_idirlight                                10/26    38.5%  [###################...............................]
e_igameinstance                             6/21    28.6%  [##############....................................]
e_ilight                                   21/42    50.0%  [#########################.........................]
e_instance                                 52/90    57.8%  [############################......................]
