# CBMemberTranslator Type Table
# Generated: 04/07/2026 06:03:56
# Format: ADDR  SIZE  TEMPLATE_TYPE  T_PARAM  M_SIGNATURE

0x802af420  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x802af498  120  CBMemberTranslator1wRet  char_*(CASMorphTarget::*)(CASMorphTarget_*  char_*)
0x802af7e0  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(CASPersonalTarget::*)(CASPersonalTarget_*  char_*)
0x802af858  120  CBMemberTranslator0  ?  ?
0x802af768  120  CBMemberTranslator2  char_*  char_*)
0x802af678  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x802af6f0  120  CBMemberTranslator1wRet  char_*(CASPersonalTarget::*)(CASPersonalTarget_*  char_*)
0x80319b8c  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(CRDTarget::*)(CRDTarget_*  char_*)
0x80319c04  120  CBMemberTranslator0  ?  ?
0x80319b14  120  CBMemberTranslator2  char_*  char_*)
0x80319694  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x80319a9c  120  CBMemberTranslator1wRet  char_*(CRDTarget::*)(CRDTarget_*  char_*)
0x80319de4  120  CBMemberTranslator2  char_*  char_*)
0x80319e5c  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(CSMTarget::*)(CSMTarget_*  char_*)
0x80319d6c  120  CBMemberTranslator1wRet  char_*(CSMTarget::*)(CSMTarget_*  char_*)
0x80319c7c  120  CBMemberTranslator1  void_(CRDTarget::*)(CRDTarget_*  ERC_*)
0x80319cf4  120  CBMemberTranslator2  ERC_*  structDrawCBparams_*)
0x803193c4  120  CBMemberTranslator0  ?  ?
0x8031943c  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8031934c  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(ACTTarget::*)(ACTTarget_*  char_*)
0x8031925c  120  CBMemberTranslator1wRet  char_*(ACTTarget::*)(ACTTarget_*  char_*)
0x803192d4  120  CBMemberTranslator2  char_*  char_*)
0x803195a4  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(BBHTarget::*)(BBHTarget_*  char_*)
0x8031961c  120  CBMemberTranslator0  ?  ?
0x803194b4  120  CBMemberTranslator1wRet  char_*(BBHTarget::*)(BBHTarget_*  char_*)
0x8031952c  120  CBMemberTranslator2  char_*  char_*)
0x802919cc  144  CBMemberTranslator0  ?  ?
0x8034dc1c  144  CBMemberTranslator0  ?  ?
0x80296024  144  CBMemberTranslator0  ?  ?
